SAMPLE_ID,NORTHEASTASIAN,MEDITERRANIAN,SOUTHAFRICA,SOUTHWESTASIAN,NATIVEAMERICAN,OCEANIAN,SOUTHEASTASIA,NORTHERNEUROPEAN,SUBSAHARANAFRICA,GROUP_ID
GRC12081958,0,0,0,0.436,0,0.0259,0.538,0,0,Gond_Ori
GRC11074503,5.00E-04,0.5047,0,0.1785,0.016,0,0.0069,0.2934,0,Greek
GRC11074505,0,0.5261,0,0.172,0,0,0.0087,0.2932,0,Greek
GRC11074506,0,0.5155,0,0.1705,0,0.007,0.0199,0.2871,0,Greek
GRC11074512,0,0.5241,0,0.1725,0.0035,0,0.0201,0.2787,0.001,Greek
GRC11074499,0.0172,0.5394,0,0.1485,0,0,0,0.2948,0,Greek
GRC11074504,0,0.5312,0,0.1631,0.0014,0,0.0062,0.2981,0,Greek
GRC11074498,0,0.5571,0,0.1673,0.0072,0.0071,0,0.2613,0,Greek
GRC11074500,0,0.5468,0,0.1645,0,0.0044,0.0232,0.2611,0,Greek
GRC11074510,0,0.5601,0.0028,0.1613,0.0121,0.0037,8.00E-04,0.2591,0,Greek
GRC11074501,0.0116,0.5563,0,0.1883,0,0,0.0037,0.24,0,Greek
GRC11074502,0,0.5412,0,0.1794,0.0055,0,0.0209,0.253,0,Greek
GRC11074507,0.0085,0.5283,0,0.2067,0.0052,0,0.0158,0.2355,0,Greek
GRC11074508,8.00E-04,0.536,0,0.1915,0,0,0.0082,0.2634,0,Greek
GRC11074509,0,0.5169,0,0.1977,0.0092,0.0039,0.011,0.2612,0,Greek
GRC11074511,0.0011,0.5421,0,0.1866,0.0062,9.00E-04,0.0023,0.2607,0,Greek
GRC12084590,0.0583,0.0261,0,0.0321,0.8379,0.0029,0.0063,0.0364,0,Guanajuato_Mexico
GRC12084591,0.054,0.0784,0.0033,0.0283,0.778,4.00E-04,0.0089,0.0399,0.0089,Guanajuato_Mexico
GRC12084592,0.0182,0.0752,0,0.0453,0.7629,0,0.0255,0.0614,0.0115,Guanajuato_Mexico
GRC12076453,0.0062,0.1335,0,0.5557,0.003,0,0.1965,0.1051,0,Gujarati
GRC12076459,0.0221,0.0951,0,0.5862,0,0.0109,0.1972,0.0884,0,Gujarati
GRC12076461,0.0274,0.1027,0,0.5863,0.0108,0.0076,0.1627,0.1025,0,Gujarati
GRC12076451,0,0.1112,0,0.5934,0.0169,0,0.215,0.0635,0,Gujarati
GRC12076452,0,0.1082,0,0.5918,0,0,0.2262,0.0738,0,Gujarati
GRC12076454,0.0221,0.0975,0,0.596,0,0,0.2091,0.0754,0,Gujarati
GRC12076457,0,0.0863,0,0.5909,0,0.0015,0.2406,0.0806,0,Gujarati
GRC12076456,0,0.0452,0,0.6264,0,0,0.2897,0.0386,0,Gujarati
GRC12076458,0,0.0426,0,0.6303,0,0,0.2879,0.0391,0,Gujarati
GRC12076460,0.0054,0.0784,0,0.6279,0,6.00E-04,0.2457,0.042,0,Gujarati
GRC12076462,8.00E-04,0.0806,0,0.6398,0,0,0.2436,0.0352,0,Gujarati
GRC12076455,0.039,0.1733,0,0.5808,0.01,0,0.1115,0.0854,0,Gujarati
GRC12081946,0,0,0,0.4972,0,0,0.5028,0,0,Halba
GRC12081953,0,0,0,0.5047,0,0.0077,0.4875,0,0,Halba
GRC12084543,8.00E-04,0.0394,0.6861,0.038,0,0.0039,0.036,0.0067,0.1891,Hereroland_Namibia
GRC12084539,0,0,0.114,0,0,0,0,0,0.8859,Hereroland_Namibia
GRC12084540,0,0,0.1813,0,0,0,0,0,0.8186,Hereroland_Namibia
GRC12084541,0,0,0.1022,0,0,0,0,0,0.8977,Hereroland_Namibia
GRC12084542,0,9.00E-04,0.1362,0,0,0,0,0,0.8629,Hereroland_Namibia
GRC12084596,0.0351,0.0181,0.0025,0.0311,0.8191,0,0.0254,0.0679,7.00E-04,Hidalgo_Mexico
GRC12087863,0.0433,0.0561,0,0.0291,0.7883,4.00E-04,0.0233,0.053,0.0065,Hidalgo_Mexico
GRC12084593,0.0377,0.1514,0.0086,0.0282,0.6395,0,0.0182,0.1065,0.0099,Hidalgo_Mexico
GRC12084595,0.0436,0.1289,2.00E-04,0.0735,0.6167,0.0062,0,0.1263,0.0045,Hidalgo_Mexico
GRC12084597,0.0434,0.0271,0,0.0385,0.8544,0.0069,0,0.0296,0,Hidalgo_Mexico
GRC12084598,0.0276,0.0056,0,0.017,0.8829,0,0.0118,0.0551,0,Hidalgo_Mexico
GRC12087864,0.0648,0.0206,0,0.0041,0.8512,0,0.0147,0.0447,0,Hidalgo_Mexico
GRC12084594,0.0226,0.1032,0.0087,0.0585,0.7024,0,0.0137,0.085,0.0058,Hidalgo_Mexico
GRC11075038,3.00E-04,0.4823,0,0.1138,0,0,0.0199,0.3536,0.0301,Iberian
GRC11075041,0,0.4674,0.0053,0.15,0,0.0021,0.0123,0.3529,0.01,Iberian
GRC11075042,0,0.495,0,0.1288,0.0032,0,0.0173,0.348,0.0076,Iberian
GRC11075045,0,0.4803,0,0.1355,0.0145,0,0.0052,0.3627,0.0018,Iberian
GRC11075046,0,0.4788,0.0021,0.126,0,0.0056,0.0086,0.3786,2.00E-04,Iberian
GRC11075047,0,0.475,0,0.1175,0,0,0.0079,0.3996,0,Iberian
GRC11075048,0,0.4484,0,0.1187,0,0.0061,0,0.4268,0,Iberian
GRC11075037,0.0082,0.5104,0,0.1471,0.0052,0,0.0061,0.3065,0.0166,Iberian
GRC11075039,0,0.5001,0,0.1395,0,0.0034,0.0034,0.342,0.0115,Iberian
GRC11075040,0,0.5257,0,0.1116,0,0.0018,0.0148,0.3356,0.0104,Iberian
