Papua_New_Guinea_coastal_2,0.0257,0,0,0,0,0.961125,0.0131,0,0
Papua_New_Guinea_highland_1,0.05666,0,0,0,0,0.9033,0.03994,0,0
Parayar_0,0,0.0176,0.00045,0.5882,0,0.0048,0.3889,0,0
Peru_1,4.00E-04,0.01865,0,0.0051,0.94125,0,0.0012,0.03345,0
Peru_2,0.02015,0.25275,0.0011,0.07375,0.4252,0,0.0073,0.17915,0.04065
Peru_3,0.001525,0.120875,0.00475,0.025475,0.74745,0.002375,0.011825,0.064075,0.021675
Peru_4,0.016,0.1977,0.004025,0.0427,0.595875,0.000975,0.00755,0.105175,0.03
Puerto_Rico_1,0,0.232975,0.0342,0.059375,0.114325,0.005925,0.010825,0.146825,0.395525
Puerto_Rico_2,0.0029,0.0815,0.0399,0.0405,0.0849,0.0022,0.0091,0.073,0.6661
Puerto_Rico_3,0.011666667,0.3994,0.007433333,0.117283333,0.101033333,0.003,0.011,0.256066667,0.0931
Puerto_Rico_4,0.0012,0.326675,0.017125,0.088125,0.1228,0.00535,0.01655,0.197325,0.2248
Pulayar_0,0,0,0,0.5306,0,0.00745,0.46195,0,0
QUECHUA_1,0.003666667,0.068433333,0.002166667,0.0153,0.842866667,0,0.0125,0.054466667,0.000666667
QUECHUA_3,0.002433333,0.012933333,0,0.0033,0.973233333,0,0,0.008033333,0
Romania_1,0.022433333,0.4408,0,0.189516667,0.00325,0.004266667,0.002433333,0.33725,0
Romania_2,0.015333333,0.474433333,0,0.205133333,0.003833333,0,1.00E-04,0.3004,7.00E-04
Russians_1,0.025975,0.27435,0,0.186225,0.007575,0.001075,0.00165,0.50315,0
Russians_2,0.0329,0.242425,5.00E-05,0.18615,0.0096,0.006675,0.005325,0.51685,0
Russians_4,0.045442857,0.2783,0,0.182985714,0.003957143,0.005142857,0.001614286,0.4825,0
Sardinian_1,0,0.67255,0.0016,0.084225,0,0.000325,0.007625,0.232925,0.000675
Sardinian_2,0,0.692575,0,0.068625,0,0.001925,0.0138,0.222975,0
Sardinian_3,0,0.699066667,0.000966667,0.090466667,0,0.003333333,0.0099,0.196033333,0.000233333
Sardinian_4,0,0.643625,0.0015,0.08075,0,0,0.0189,0.25165,0.003525
Schmidtsdrift_Northern_Cape_RSA_0,0,0,0.8041,0,0,0,0,0,0.19585
Southeastern_Namibia_1,0,0.03425,0.4564,0,0,0.0053,0.00245,0,0.50155
Southeastern_Namibia_2,0,0.058833333,0.9245,0.001133333,0,0.001033333,0,0,0.014433333
Tajikistan_1,0.09235,0.2641,0,0.413925,0.00925,0,0,0.220325,0
Tajikistan_3,0.099475,0.213,0,0.432575,0.005225,0.002025,5.00E-05,0.24765,0
Tajikistan_4,0.12435,0.211825,0.001025,0.44515,0.01805,0.0027,0.001275,0.1956,0
Tatars_1,0.134775,0.21115,0,0.210825,0.0104,0.006275,0.011175,0.415425,0
Tatars_2,0.1943,0.16045,0,0.21715,0.0253,0,6.00E-04,0.40205,0
Tatars_3,0.144425,0.245475,0,0.20775,0.00665,0.002875,0.0038,0.388975,0
Tatars_4,0.17754,0.2174,0,0.21766,0.01092,0.00038,0.00582,0.37026,0
Tharu_0,0.3948,0,0.00335,0.2665,0,0.01035,0.3211,0.0039,0
Toliara_Madagascar_2,0.134666667,0.019566667,0.042166667,0,0,0.002166667,0.1819,0.000933333,0.618533333
Tsumkwe_Namibia_0,0,0,0.78905,0,0,0,0,0,0.21085
Tunisia_1,8.00E-04,0.6398,0.007425,0.07695,0.003175,0.00225,0.022875,0.05515,0.191525
Tunisia_2,0.00185,0.626,0.0081,0.11515,0.002775,6.00E-04,0.01255,0.0276,0.205425
Tunisia_3,0,0.5774,0.0095,0.1248,0.00405,0.00945,0.00615,0.1003,0.16835
Tunisia_4,0.00025,0.618,0.00585,0.1383,0.0056,0.0051,0.0229,0.04485,0.15915
UK_1,0.0054,0.3179,0,0.1579,0.00065,0.00435,0.00185,0.51185,0
UK_2,0.0017,0.32715,0,0.1892,0.00345,0,0.0014,0.47705,0
UK_3,0.003775,0.35655,0.00055,0.1747,0.00275,0,0.007,0.454625,0
